N_BOLETIM,SEQ_VEIC,COD_CATEG,DESCRICAO_CATEG,COD_ESPECIE,DESCRICAO_ESPECIE,COD_SITUACAO,DESCRICAO_SITUACAO,TIPO_SOCORRO,DESC_TIPO_SOCORRO
2019025349481001,1,3,PARTICULAR,4,MOTOCICLETA,1,EMMOVIMENTO,5,DISPENSOUATENDIMEN
2019025356351001,1,3,PARTICULAR,6,AUTOMOVEL,1,EMMOVIMENTO,6,NAOSEAPLICA
2019025364947001,1,3,PARTICULAR,4,MOTOCICLETA,1,EMMOVIMENTO,4,TERCEIROS
2019025378875001,1,3,PARTICULAR,4,MOTOCICLETA,1,EMMOVIMENTO,3,AMBULANCIA
2019025379917001,1,3,PARTICULAR,4,MOTOCICLETA,1,EMMOVIMENTO,0,NAOINFORMADO
2019025404994001,1,3,PARTICULAR,4,MOTOCICLETA,1,EMMOVIMENTO,6,NAOSEAPLICA
2019027812724001,1,3,PARTICULAR,12,CAMIONETA,1,EMMOVIMENTO,3,AMBULANCIA
2019027854305001,1,3,PARTICULAR,6,AUTOMOVEL,1,EMMOVIMENTO,6,NAOSEAPLICA
2019027858554001,1,3,PARTICULAR,6,AUTOMOVEL,1,EMMOVIMENTO,3,AMBULANCIA
2019027868051001,1,3,PARTICULAR,4,MOTOCICLETA,1,EMMOVIMENTO,5,DISPENSOUATENDIMEN
2019027890324001,1,3,PARTICULAR,6,AUTOMOVEL,1,EMMOVIMENTO,6,NAOSEAPLICA
2019027903591001,1,3,PARTICULAR,4,MOTOCICLETA,1,EMMOVIMENTO,5,DISPENSOUATENDIMEN
2019027909257001,1,3,PARTICULAR,6,AUTOMOVEL,1,EMMOVIMENTO,3,AMBULANCIA
2019027911059001,1,0,NAOINFORMADO,4,MOTOCICLETA,1,EMMOVIMENTO,6,NAOSEAPLICA
2019027930096001,1,3,PARTICULAR,4,MOTOCICLETA,1,EMMOVIMENTO,5,DISPENSOUATENDIMEN
2019027934066001,1,3,PARTICULAR,4,MOTOCICLETA,1,EMMOVIMENTO,0,NAOINFORMADO
2019027964664001,1,3,PARTICULAR,6,AUTOMOVEL,1,EMMOVIMENTO,6,NAOSEAPLICA
2019027971941001,1,3,PARTICULAR,4,MOTOCICLETA,1,EMMOVIMENTO,5,DISPENSOUATENDIMEN
2019030651529001,1,3,PARTICULAR,4,MOTOCICLETA,1,EMMOVIMENTO,3,AMBULANCIA
2019030684375001,1,4,ALUGUEL,4,MOTOCICLETA,1,EMMOVIMENTO,3,AMBULANCIA
2019030694775001,1,3,PARTICULAR,6,AUTOMOVEL,1,EMMOVIMENTO,6,NAOSEAPLICA
2019030718490001,1,3,PARTICULAR,6,AUTOMOVEL,1,EMMOVIMENTO,6,NAOSEAPLICA
2019030720944001,1,3,PARTICULAR,6,AUTOMOVEL,1,EMMOVIMENTO,5,DISPENSOUATENDIMEN
2019030734831001,1,3,PARTICULAR,4,MOTOCICLETA,1,EMMOVIMENTO,6,NAOSEAPLICA
