N_BOLETIM,N_ENVOLVIDO,COD_SEVERIDADE,DESC_SEVERIDADE,SEXO,CINTO_SEGURANCA,EMBREAGUES,IDADE,CATEGORIA_HABILITACAO,DESCRICAO_HABILITACAO,ESPECIE_VEICULO
2017004074714001,1,1,NAOFATAL,M,SIM,NAO,42,AB,HABILITADONASCATEGORIASAeB,MOTOCICLETA
2017004078989001,1,1,NAOFATAL,M,SIM,NAO,23,AB,HABILITADONASCATEGORIASAeB,MOTOCICLETA
2017004080884001,1,1,NAOFATAL,F,SIM,NAO,28,AB,HABILITADONASCATEGORIASAeB,MOTOCICLETA
2017000506928001,1,1,NAOFATAL,M,SIM,NAO,45,AB,HABILITADONASCATEGORIASAeB,MOTOCICLETA
2017001968935001,1,1,NAOFATAL,F,SIM,NAO,32,AB,HABILITADONASCATEGORIASAeB,AUTOMOVEL
2017001990242001,1,1,NAOFATAL,M,SIM,NAO,26,AB,HABILITADONASCATEGORIASAeB,MOTOCICLETA
2017001992828001,1,1,NAOFATAL,F,SIM,NAO,27,AB,HABILITADONASCATEGORIASAeB,MOTOCICLETA
2017002015410001,1,1,NAOFATAL,M,SIM,NAO,39,N,NAOINFORMADO,MOTOCICLETA
2017004099592001,2,1,NAOFATAL,M,SIM,NAO,42,AB,HABILITADONASCATEGORIASAeB,MOTOCICLETA
2017004105930001,2,1,NAOFATAL,M,NAO,NAO,56,AB,HABILITADONASCATEGORIASAeB,MOTOCICLETA
2017004120260001,2,1,NAOFATAL,M,SIM,NAO,25,AB,HABILITADONASCATEGORIASAeB,MOTOCICLETA
2017004120496001,2,1,NAOFATAL,F,SIM,NAO,34,AB,HABILITADONASCATEGORIASAeB,MOTOCICLETA
2017004121945001,3,1,NAOFATAL,F,SIM,NAO,15,AB,HABILITADONASCATEGORIASAeB,AUTOMOVEL
2017004124860001,2,1,NAOFATAL,M,SIM,NAO,22,AB,HABILITADONASCATEGORIASAeB,MOTOCICLETA
2017004125915001,1,1,NAOFATAL,M,SIM,NAO,33,AB,HABILITADONASCATEGORIASAeB,MOTOCICLETA
2017004127760001,2,1,NAOFATAL,M,NAO,NAO,27,AB,HABILITADONASCATEGORIASAeB,BICICLETA
2017004131260001,3,1,NAOFATAL,F,SIM,NAO,21,AB,HABILITADONASCATEGORIASAeB,AUTOMOVEL
2017004131273001,2,1,NAOFATAL,M,SIM,NAO,41,AB,HABILITADONASCATEGORIASAeB,MOTOCICLETA
2017004131364001,2,1,NAOFATAL,M,NAO,NAO,38,AB,HABILITADONASCATEGORIASAeB,MOTOCICLETA
2017004132776001,2,0,NAOINFORMADO,M,NAO,NAOINFORMADO,0,N,NAOINFORMADO,AUTOMOVEL
2017004135923001,1,1,NAOFATAL,M,SIM,NAO,27,AB,HABILITADONASCATEGORIASAeB,MOTOCICLETA
2017004136683001,2,1,NAOFATAL,M,SIM,NAO,66,AB,HABILITADONASCATEGORIASAeB,AUTOMOVEL
2017004154174001,3,1,NAOFATAL,F,SIM,NAO,70,AB,HABILITADONASCATEGORIASAeB,AUTOMOVEL
2017004156960001,2,1,NAOFATAL,M,SIM,NAO,32,AB,HABILITADONASCATEGORIASAeB,MOTOCICLETA
2017004157503001,2,1,NAOFATAL,M,NAO,NAOINFORMADO,0,AB,HABILITADONASCATEGORIASAeB,BICICLETA
2017004158902001,1,1,NAOFATAL,F,SIM,NAO,25,AB,HABILITADONASCATEGORIASAeB,MOTOCICLETA
2017004170530001,2,1,NAOFATAL,M,SIM,NAO,42,AB,HABILITADONASCATEGORIASAeB,MOTOCICLETA
2017004172135001,1,1,NAOFATAL,F,SIM,NAO,22,AB,HABILITADONASCATEGORIASAeB,MOTOCICLETA
2017004177112001,1,1,NAOFATAL,M,SIM,NAO,34,AB,HABILITADONASCATEGORIASAeB,MOTOCICLETA
2017004177138001,2,1,NAOFATAL,F,SIM,NAO,26,AB,HABILITADONASCATEGORIASAeB,AUTOMOVEL
2017004179754001,1,1,NAOFATAL,M,SIM,NAO,29,AB,HABILITADONASCATEGORIASAeB,MOTOCICLETA
2017004180865001,2,0,NAOINFORMADO,M,NAO,NAOINFORMADO,0,N,NAOINFORMADO,AUTOMOVEL
2017004185147001,2,1,NAOFATAL,M,SIM,NAO,36,AB,HABILITADONASCATEGORIASAeB,MOTOCICLETA
2017004205243001,2,1,NAOFATAL,M,NAO,NAO,57,AB,HABILITADONASCATEGORIASAeB,MOTOCICLETA
2017004206865001,1,3,SEMFERIMENTOS,M,SIM,NAO,53,AD,HABILITADONASCATEGORIASAeD,AUTOMOVEL
2017004210863001,1,1,NAOFATAL,M,SIM,NAO,51,AB,HABILITADONASCATEGORIASAeB,MOTOCICLETA
2017004213030001,2,0,NAOINFORMADO,0,NAO,NAOINFORMADO,0,N,NAOINFORMADO,NAOINFORMADO
2017004217971001,2,3,SEMFERIMENTOS,M,SIM,NAO,58,AB,HABILITADONASCATEGORIASAeB,AUTOMOVEL
2017004221274001,2,1,NAOFATAL,M,SIM,NAO,21,AB,HABILITADONASCATEGORIASAeB,MOTOCICLETA
2017004221653001,2,3,SEMFERIMENTOS,F,SIM,NAO,34,AB,HABILITADONASCATEGORIASAeB,AUTOMOVEL
2017004229688001,2,3,SEMFERIMENTOS,M,SIM,NAO,24,AB,HABILITADONASCATEGORIASAeB,AUTOMOVEL
2017004231477001,1,1,NAOFATAL,M,SIM,NAO,60,AB,HABILITADONASCATEGORIASAeB,MOTOCICLETA
2017004234756001,2,1,NAOFATAL,M,SIM,NAO,27,AD,HABILITADONASCATEGORIASAeD,MOTOCICLETA
2017004235540001,2,1,NAOFATAL,M,SIM,NAO,23,AB,HABILITADONASCATEGORIASAeB,MOTOCICLETA
2017000539943001,1,1,NAOFATAL,M,NAO,NAO,19,AB,HABILITADONASCATEGORIASAeB,MOTOCICLETA
2017000564765001,1,1,NAOFATAL,M,NAO,NAO,47,AB,HABILITADONASCATEGORIASAeB,MOTOCICLETA
2017002039002001,1,1,NAOFATAL,M,SIM,NAO,21,AB,HABILITADONASCATEGORIASAeB,MOTOCICLETA
2017002058510001,1,1,NAOFATAL,M,SIM,NAO,33,AB,HABILITADONASCATEGORIASAeB,MOTOCICLETA
2017003397868001,1,1,NAOFATAL,M,SIM,NAO,21,AB,HABILITADONASCATEGORIASAeB,MOTOCICLETA
2017003404413001,2,3,SEMFERIMENTOS,M,SIM,NAO,54,AB,HABILITADONASCATEGORIASAeB,AUTOMOVEL
2017003412751001,1,1,NAOFATAL,M,SIM,NAO,24,AB,HABILITADONASCATEGORIASAeB,AUTOMOVEL
2017004251991001,3,1,NAOFATAL,F,SIM,NAO,55,AB,HABILITADONASCATEGORIASAeB,MOTOCICLETA
2017004256048001,3,1,NAOFATAL,F,SIM,NAO,60,AB,HABILITADONASCATEGORIASAeB,AUTOMOVEL
2017004260795001,2,3,SEMFERIMENTOS,M,SIM,NAO,58,AB,HABILITADONASCATEGORIASAeB,AUTOMOVEL
2017004263682001,1,1,NAOFATAL,M,SIM,NAO,23,AB,HABILITADONASCATEGORIASAeB,MOTOCICLETA
2017004264148001,2,1,NAOFATAL,M,SIM,NAO,29,AB,HABILITADONASCATEGORIASAeB,MOTOCICLETA
2017004267819001,2,1,NAOFATAL,M,SIM,NAO,21,AB,HABILITADONASCATEGORIASAeB,MOTOCICLETA
2017004270840001,1,3,SEMFERIMENTOS,M,SIM,NAO,38,AB,HABILITADONASCATEGORIASAeB,AUTOMOVEL
2017004272630001,3,1,NAOFATAL,F,SIM,NAO,62,AB,HABILITADONASCATEGORIASAeB,AUTOMOVEL
2017004279174001,2,1,NAOFATAL,M,SIM,NAO,42,AB,HABILITADONASCATEGORIASAeB,MOTOCICLETA
2017004279252001,1,1,NAOFATAL,M,SIM,NAO,30,AB,HABILITADONASCATEGORIASAeB,MOTOCICLETA
2017004287744001,1,1,NAOFATAL,M,SIM,NAO,28,AB,HABILITADONASCATEGORIASAeB,AUTOMOVEL
2017004295647001,2,1,NAOFATAL,F,SIM,NAO,21,AB,HABILITADONASCATEGORIASAeB,MOTOCICLETA
2017000680780001,1,1,NAOFATAL,F,SIM,NAO,33,AB,HABILITADONASCATEGORIASAeB,MOTOCICLETA
2017000682328001,1,1,NAOFATAL,M,NAO,NAO,48,AB,HABILITADONASCATEGORIASAeB,MOTOCICLETA
2017002122174001,1,1,NAOFATAL,M,SIM,NAO,42,AB,HABILITADONASCATEGORIASAeB,MOTOCICLETA
2017002143351001,4,3,SEMFERIMENTOS,F,SIM,NAO,82,AB,HABILITADONASCATEGORIASAeB,AUTOMOVEL
2017002145859001,2,1,NAOFATAL,M,SIM,NAO,26,AB,HABILITADONASCATEGORIASAeB,AUTOMOVEL
2017002148207001,2,1,NAOFATAL,M,SIM,NAO,22,N,NAOINFORMADO,MOTOCICLETA
2017002153084001,1,1,NAOFATAL,M,SIM,NAO,22,N,NAOINFORMADO,MOTOCICLETA
2017003445372001,1,1,NAOFATAL,F,NAO,NAOINFORMADO,35,AB,HABILITADONASCATEGORIASAeB,MOTOCICLETA
2017003450124001,1,1,NAOFATAL,M,SIM,NAO,40,AB,HABILITADONASCATEGORIASAeB,MOTOCICLETA
2017003467069001,1,1,NAOFATAL,M,SIM,NAO,31,AB,HABILITADONASCATEGORIASAeB,MOTOCICLETA
2017003485528001,1,1,NAOFATAL,M,SIM,NAO,21,AB,HABILITADONASCATEGORIASAeB,MOTOCICLETA
2017003488729001,1,1,NAOFATAL,M,SIM,NAO,34,AB,HABILITADONASCATEGORIASAeB,AUTOMOVEL
2017003542046001,1,1,NAOFATAL,M,SIM,NAO,20,AB,HABILITADONASCATEGORIASAeB,MOTOCICLETA
2017004316068001,2,1,NAOFATAL,M,SIM,NAO,27,AB,HABILITADONASCATEGORIASAeB,MOTOCICLETA
2017004319180001,1,3,SEMFERIMENTOS,M,SIM,NAO,40,AE,HABILITADONASCATEGORIASAeE,AUTOMOVEL
2017004336279001,1,3,SEMFERIMENTOS,F,SIM,NAO,60,AB,HABILITADONASCATEGORIASAeB,AUTOMOVEL
2017004339623001,2,1,NAOFATAL,M,SIM,NAO,59,AB,HABILITADONASCATEGORIASAeB,AUTOMOVEL
2017004354099001,3,1,NAOFATAL,F,SIM,NAO,24,AB,HABILITADONASCATEGORIASAeB,AUTOMOVEL
2017004355250001,2,1,NAOFATAL,M,SIM,NAO,35,AB,HABILITADONASCATEGORIASAeB,AUTOMOVEL
2017004364893001,1,1,NAOFATAL,M,SIM,NAO,41,AB,HABILITADONASCATEGORIASAeB,MOTOCICLETA
2017004374691001,1,1,NAOFATAL,M,SIM,NAO,40,N,NAOINFORMADO,MOTOCICLETA
2017000751258001,2,1,NAOFATAL,F,NAO,NAO,40,AB,HABILITADONASCATEGORIASAeB,ONIBUS
2017000753937001,1,1,NAOFATAL,M,NAO,NAO,44,AB,HABILITADONASCATEGORIASAeB,AUTOMOVEL
2017000767066001,1,1,NAOFATAL,M,NAO,NAO,28,AB,HABILITADONASCATEGORIASAeB,AUTOMOVEL
2017000780037001,1,1,NAOFATAL,M,NAO,NAO,33,AB,HABILITADONASCATEGORIASAeB,MOTOCICLETA
2017002164513001,2,1,NAOFATAL,M,SIM,NAO,21,AB,HABILITADONASCATEGORIASAeB,MOTOCICLETA
2017002164699001,1,1,NAOFATAL,M,SIM,NAO,41,AB,HABILITADONASCATEGORIASAeB,MOTOCICLETA
2017002172093001,2,1,NAOFATAL,M,SIM,NAO,38,N,NAOINFORMADO,MOTOCICLETA
2017002187022001,2,1,NAOFATAL,M,SIM,NAO,54,AB,HABILITADONASCATEGORIASAeB,MOTOCICLETA
2017002187204001,2,1,NAOFATAL,F,NAO,NAO,40,AB,HABILITADONASCATEGORIASAeB,MOTOCICLETA
2017002189400001,1,3,SEMFERIMENTOS,M,SIM,NAO,37,AB,HABILITADONASCATEGORIASAeB,AUTOMOVEL
2017002204649001,1,1,NAOFATAL,M,SIM,NAO,27,AB,HABILITADONASCATEGORIASAeB,MOTOCICLETA
2017002226993001,1,1,NAOFATAL,M,SIM,NAO,31,AB,HABILITADONASCATEGORIASAeB,MOTOCICLETA
2017002227070001,2,1,NAOFATAL,F,SIM,NAO,22,AB,HABILITADONASCATEGORIASAeB,MOTOCICLETA
2017002236133001,2,1,NAOFATAL,M,SIM,NAO,34,AB,HABILITADONASCATEGORIASAeB,MOTOCICLETA
2017002240198001,2,1,NAOFATAL,M,SIM,NAO,30,AB,HABILITADONASCATEGORIASAeB,MOTOCICLETA
2017002254843001,2,1,NAOFATAL,M,SIM,NAO,39,AB,HABILITADONASCATEGORIASAeB,MOTOCICLETA
2017002256119001,1,1,NAOFATAL,M,SIM,NAO,23,AB,HABILITADONASCATEGORIASAeB,MOTOCICLETA
2017002258986001,1,1,NAOFATAL,F,SIM,NAO,26,AB,HABILITADONASCATEGORIASAeB,MOTOCICLETA
2017002261741001,2,1,NAOFATAL,F,NAO,NAO,52,AB,HABILITADONASCATEGORIASAeB,MOTOCICLETA
2017002266967001,1,1,NAOFATAL,M,SIM,NAO,28,AB,HABILITADONASCATEGORIASAeB,MOTOCICLETA
2017004518386001,2,1,NAOFATAL,F,NAO,NAO,64,AB,HABILITADONASCATEGORIASAeB,MOTOCICLETA
2017004529884001,2,1,NAOFATAL,M,SIM,NAO,24,AB,HABILITADONASCATEGORIASAeB,MOTOCICLETA
2017004531539001,2,0,NAOINFORMADO,M,NAO,NAOINFORMADO,0,N,NAOINFORMADO,AUTOMOVEL
2017004548915001,1,1,NAOFATAL,M,SIM,NAO,36,AB,HABILITADONASCATEGORIASAeB,MOTOCICLETA
2017004553030001,2,3,SEMFERIMENTOS,M,SIM,NAO,25,AB,HABILITADONASCATEGORIASAeB,AUTOMOVEL
2017004553736001,1,1,NAOFATAL,M,SIM,NAO,21,AB,HABILITADONASCATEGORIASAeB,MOTOCICLETA
2017004580124001,2,1,NAOFATAL,M,SIM,NAO,39,AB,HABILITADONASCATEGORIASAeB,MOTOCICLETA
2017004584464001,1,1,NAOFATAL,M,SIM,NAO,44,AB,HABILITADONASCATEGORIASAeB,MOTOCICLETA
2017004585080001,1,1,NAOFATAL,M,SIM,NAO,30,AD,HABILITADONASCATEGORIASAeD,NAOINFORMADO
2017004591400001,2,1,NAOFATAL,M,NAO,NAO,79,AB,HABILITADONASCATEGORIASAeB,MOTOCICLETA
2017004600600001,2,3,SEMFERIMENTOS,M,SIM,NAO,48,N,NAOINFORMADO,CAMINHAO
2017004601372001,1,1,NAOFATAL,M,SIM,NAO,25,AB,HABILITADONASCATEGORIASAeB,MOTOCICLETA
2017004605132001,2,0,NAOINFORMADO,0,NAO,NAOINFORMADO,0,AB,HABILITADONASCATEGORIASAeB,AUTOMOVEL
2017004610016002,2,1,NAOFATAL,M,SIM,NAO,36,N,NAOINFORMADO,AUTOMOVEL
2017004617033001,1,1,NAOFATAL,M,SIM,NAO,25,AB,HABILITADONASCATEGORIASAeB,MOTOCICLETA
2017004623240001,2,1,NAOFATAL,F,SIM,NAO,28,N,NAOINFORMADO,BICICLETA
2017000841080001,1,1,NAOFATAL,F,SIM,NAO,33,AB,HABILITADONASCATEGORIASAeB,MOTOCICLETA
2017000846330001,1,1,NAOFATAL,M,NAO,NAO,28,AB,HABILITADONASCATEGORIASAeB,MOTOCICLETA
2017000883037001,1,1,NAOFATAL,M,NAO,NAO,38,AB,HABILITADONASCATEGORIASAeB,AUTOMOVEL
2017000883589001,1,1,NAOFATAL,M,NAO,NAO,33,AB,HABILITADONASCATEGORIASAeB,MOTOCICLETA
2017000898875001,1,1,NAOFATAL,M,SIM,NAO,39,AB,HABILITADONASCATEGORIASAeB,MOTOCICLETA
2017002280384001,1,1,NAOFATAL,M,SIM,NAO,35,AD,HABILITADONASCATEGORIASAeD,MOTOCICLETA
2017002283061001,1,3,SEMFERIMENTOS,M,SIM,NAO,41,AB,HABILITADONASCATEGORIASAeB,AUTOMOVEL
2017002306540001,1,1,NAOFATAL,M,SIM,NAO,29,AB,HABILITADONASCATEGORIASAeB,MOTOCICLETA
2017002315084001,2,1,NAOFATAL,M,NAO,NAO,7,AB,HABILITADONASCATEGORIASAeB,MOTOCICLETA
2017002317356001,2,1,NAOFATAL,M,NAO,NAO,2,AB,HABILITADONASCATEGORIASAeB,MOTOCICLETA
2017002317917001,2,1,NAOFATAL,M,SIM,NAO,46,AB,HABILITADONASCATEGORIASAeB,MOTOCICLETA
2017002319524001,1,3,SEMFERIMENTOS,M,SIM,NAO,46,AB,HABILITADONASCATEGORIASAeB,AUTOMOVEL
2017002321131001,2,3,SEMFERIMENTOS,M,SIM,NAO,56,AD,HABILITADONASCATEGORIASAeD,AUTOMOVEL
2017002323914001,1,1,NAOFATAL,M,SIM,NAO,29,IN,INABILITADO,MOTOCICLETA
2017002324110001,2,1,NAOFATAL,F,SIM,NAO,22,AB,HABILITADONASCATEGORIASAeB,CAMINHONETE
2017002324856001,1,1,NAOFATAL,M,SIM,NAO,35,AB,HABILITADONASCATEGORIASAeB,MOTOCICLETA
2017002328356001,3,1,NAOFATAL,M,SIM,NAO,27,AB,HABILITADONASCATEGORIASAeB,AUTOMOVEL
2017002361118001,2,3,SEMFERIMENTOS,M,SIM,NAO,32,AB,HABILITADONASCATEGORIASAeB,MOTOCICLETA
2017002374461001,2,1,NAOFATAL,M,SIM,NAO,25,N,NAOINFORMADO,AUTOMOVEL
